
1029617745920 bytes (1.0 TB, 959 GiB) copied, 235 s, 4.4 GB/s
1033996599296 bytes (1.0 TB, 963 GiB) copied, 236 s, 4.4 GB/s
1038375452672 bytes (1.0 TB, 967 GiB) copied, 237 s, 4.4 GB/s
1042771083264 bytes (1.0 TB, 971 GiB) copied, 238 s, 4.4 GB/s
1047149936640 bytes (1.0 TB, 975 GiB) copied, 239 s, 4.4 GB/s
1051528790016 bytes (1.1 TB, 979 GiB) copied, 240 s, 4.4 GB/s
1055924420608 bytes (1.1 TB, 983 GiB) copied, 241 s, 4.4 GB/s
1060320051200 bytes (1.1 TB, 988 GiB) copied, 242 s, 4.4 GB/s
1064682127360 bytes (1.1 TB, 992 GiB) copied, 243 s, 4.4 GB/s
1069077757952 bytes (1.1 TB, 996 GiB) copied, 244 s, 4.4 GB/s
1073473388544 bytes (1.1 TB, 1000 GiB) copied, 245 s, 4.4 GB/s
1077852241920 bytes (1.1 TB, 1004 GiB) copied, 246 s, 4.4 GB/s
1082231095296 bytes (1.1 TB, 1008 GiB) copied, 247 s, 4.4 GB/s
1086626725888 bytes (1.1 TB, 1012 GiB) copied, 248 s, 4.4 GB/s
1091005579264 bytes (1.1 TB, 1016 GiB) copied, 249 s, 4.4 GB/s
1095384432640 bytes (1.1 TB, 1020 GiB) copied, 250 s, 4.4 GB/s1099494850560 bytes (1.1 TB, 1.0 TiB) copied, 250.936 s, 4.4 GB/s

65535+0 records in
65535+0 records out
1099494850560 bytes (1.1 TB, 1.0 TiB) copied, 250.936 s, 4.4 GB/s
