configuration,round,workload,target,histogram,total_qps,op_qps,count,failed,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,label,sha256,binary_sha256
12-worker clean reload,3,C,0,READ,481139.337952271,481139.337952271,5000000,0,472.9219212,452,631,795,3367,10223,58847,cpu12-r3,32fefda4cdec837d86be6266ea4cb159fd9668bbd8c0300a5d2c69f99fa76442,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,C,0,Intended-READ,481139.337952271,481139.337952271,5000000,0,472.9592748,452,631,795,3367,10223,58847,cpu12-r3,32fefda4cdec837d86be6266ea4cb159fd9668bbd8c0300a5d2c69f99fa76442,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,A,100000,READ,99742.66392706816,49876.29914819765,2500249,0,313.1867813965729,296,377,520,2853,5259,24751,cpu12-r3,b75e95626966bb1d9ed43954c34419bb63489e8c20e79bffd3157bdb3f2fe4b1,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,A,100000,Intended-READ,99742.66392706816,49876.29914819765,2500249,0,409.14452720509036,355,439,885,12527,52319,77759,cpu12-r3,b75e95626966bb1d9ed43954c34419bb63489e8c20e79bffd3157bdb3f2fe4b1,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,A,100000,UPDATE,99742.66392706816,49866.36477887051,2499751,0,322.699412861521,303,388,566,3055,5827,27183,cpu12-r3,b75e95626966bb1d9ed43954c34419bb63489e8c20e79bffd3157bdb3f2fe4b1,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,A,100000,Intended-UPDATE,99742.66392706816,49866.36477887051,2499751,0,419.25662796014484,362,450,920,13807,52735,74111,cpu12-r3,b75e95626966bb1d9ed43954c34419bb63489e8c20e79bffd3157bdb3f2fe4b1,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,A,0,READ,398025.7920713262,199094.8097436714,2501029,0,584.3099700163413,510,829,3133,6103,12039,58815,cpu12-r3,73db11d807daaa55c58eeae6ddcd14c3ae59ea63ea28465cda45a1386ce447ab,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,A,0,Intended-READ,398025.7920713262,199094.8097436714,2501029,0,584.3446989219237,510,829,3133,6103,12039,58815,cpu12-r3,73db11d807daaa55c58eeae6ddcd14c3ae59ea63ea28465cda45a1386ce447ab,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,A,0,UPDATE,398025.7920713262,198930.98232765484,2498971,0,596.6803684396498,520,853,3151,6111,11151,56095,cpu12-r3,73db11d807daaa55c58eeae6ddcd14c3ae59ea63ea28465cda45a1386ce447ab,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,A,0,Intended-UPDATE,398025.7920713262,198930.98232765484,2498971,0,596.7173052428379,520,853,3151,6111,11151,56095,cpu12-r3,73db11d807daaa55c58eeae6ddcd14c3ae59ea63ea28465cda45a1386ce447ab,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
