# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cpu-clock:u'
# Event count (approx.): 374595955850
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 1.28%  | 0.33%  |[.] keylane::storage::ComputeDigest(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 1.26%  | 1.26%  |[.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |-      -            
 1.25%  | 0.06%  |[.] std::basic_string_view<char, std::char_traits<char> >::compare(std::basic_string_view<char, std::char_traits<char> >) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 1.21%  | 0.41%  |[.] celer::IoUringBackend::ReapCompletions()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 1.19%  | 0.91%  |[.] keylane::DispatchCommand(keylane::DispatchCommand(keylane::ConnectionContext&, keylane::CommandRequest&, keylane::ReplyBuilder&)::_ZN7keylane15DispatchCommandERNS_17ConnectionContextERNS_14CommandRequestERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 1.14%  | 0.21%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.10%  | 0.33%  |[.] celer::TcpStream::ReadSome(celer::TcpStream::ReadSome(std::span<std::byte, 18446744073709551615ul>)::_ZN5celer9TcpStream8ReadSomeESt4spanISt4byteLm18446744073709551615EE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 1.07%  | 0.40%  |[.] keylane::storage::StorageEngine::Impl::ExecuteHashLikeLocked(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::HashOperation const&, keylane::storage::ValueType, keylane::storage::TxShardWrites*, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::{lambda(std::basic_string_view<char, std::char_traits<char> >)#2}::operator()(std::basic_string_view<char, std::char_traits<char> >) const [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 1.00%  | 0.60%  |[.] keylane::(anonymous namespace)::ExecuteStorageCommand(keylane::(anonymous namespace)::ExecuteStorageCommand(keylane::CommandRequest const&, keylane::ReplyBuilder&, keylane::ReadLatencyTrace*, keylane::SetLatencyTrace*)::_ZN7keylane12_GLOBAL__N_121ExecuteStorageCommandERKNS_14CommandRequestERNS_12ReplyBuilderEPNS_16ReadLatencyTraceEPNS_15SetLatencyTraceE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 1.00%  | 0.52%  |[.] celer::Worker::Flush()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
