# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cpu-clock:u'
# Event count (approx.): 284105492125
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 1.19%  | 0.48%  |[.] keylane::(anonymous namespace)::PushArgument(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 1.18%  | 1.18%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::FindAddress(unsigned long, unsigned int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 1.11%  | 1.11%  |[.] keylane::storage::(anonymous namespace)::SipHash12(std::basic_string_view<char, std::char_traits<char> >, std::array<unsigned char, 16ul> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 1.03%  | 0.73%  |[.] keylane::storage::StorageEngine::Impl::AppendLocked(keylane::storage::StorageEngine::Impl::AppendLocked(keylane::storage::StorageEngine::Impl::WorkerStore&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordKind, keylane::storage::ValueType, unsigned long, keylane::storage::TxShardWrites*, unsigned long, std::unique_ptr<std::vector<keylane::storage::RetiredRecord, std::allocator<keylane::storage::RetiredRecord> >, std::default_delete<std::vector<keylane::storage::RetiredRecord, std::allocator<keylane::storage::RetiredRecord> > > >, unsigned long*, keylane::storage::ReplicationCommandAppend*, keylane::SetLatencyTrace*, bool, keylane::storage::TxUndoLog*, keylane::storage::MutationPrecondition const*, keylane::storage::StorageEngine::Impl::GroupMutationWrite*)::_ZN7keylane7storage13StorageEngine4Impl12AppendLockedERNS2_11WorkerStoreERNS3_14PartitionStoreEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestESA_NS0_10RecordKindENS0_9ValueTypeEmPNS0_13TxShardWritesEmSt10unique_ptrISt6vectorINS0_13RetiredRecordESaISK_EESt14default_deleteISM_EEPmPNS0_24ReplicationCommandAppendEPNS_15SetLatencyTraceEbPNS0_9TxUndoLogEPKNS0_20MutationPreconditionEPNS2_18GroupMutationWriteE.Frame*) [clone .actor] [clone .lto_priv.0]  |-      -            
 1.00%  | 0.24%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, unsigned long, std::allocator<char> const&) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 0.93%  | 0.93%  |[.] keylane::(anonymous namespace)::AppendUnsigned(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned long) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 0.91%  | 0.86%  |[.] keylane::storage::StorageEngine::Impl::ValidateCompactWriteSnapshot(keylane::storage::StorageEngine::Impl::WorkerStore const&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore const&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::RecordLocation const&, keylane::storage::CompactWriteSnapshot const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 0.89%  | 0.89%  |[.] keylane::(anonymous namespace)::BuildParsedCommandRequest(keylane::RespCommand, unsigned char) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 0.86%  | 0.22%  |[.] celer::ReadOperation::await_resume()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 0.83%  | 0.03%  |[.] celer::Task<keylane::CommandReply>::~Task() [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
